id,created_at,sport,league,home_team,away_team,outcome,coefficient,bookmaker,stake,ev_profit,real_profit,is_live,strategy
414,2025-11-24 18:34:47.816531+00,Tennis,itf women ortisei,raluca georgiana serban,samira de stefano,P1 T> 10.5,4.35,Sansabet,100,54.49,-100.00,true,
413,2025-11-24 17:34:23.312995+00,Tennis,atp challenger bogota,karl poling,juan sebastian osorio,T> 21.5,1.93,Sansabet,100,9.41,-100.00,true,
410,2025-11-24 17:12:26.661798+00,Soccer,italy serie d group a,biellese,club milano,T> 2.5,3.2,Sansabet,100,3.66,-100.00,true,
406,2025-11-24 17:06:34.286232+00,Tennis,atp challenger maia,jan choinski,kilian feldbausch,P1 1G 4.0,3.15,Sansabet,100,12.58,215.00,true,
404,2025-11-24 16:36:02.972099+00,Tennis,wta 125k buenos aires,martina trevisan,eva vedder,T< 20.5,1.85,Sansabet,100,3.20,85.00,true,
402,2025-11-24 16:28:56.73598+00,Soccer,russia first league,rotor volgograd,chelyabinsk,T< 0.5,4.35,Sansabet,100,6.22,-100.00,true,
400,2025-11-24 15:36:12.58387+00,Soccer,bulgaria first league,botev vratsa,slavia sofia,T> 2.5,3.2,Sansabet,100,3.45,-100.00,true,
397,2025-11-24 15:19:19.95149+00,Soccer,slovenia u19 league,jadran dekani,olimpija ljubljana,IT1> 0.5,3.2,Sansabet,100,5.42,-100.00,true,
395,2025-11-24 15:11:13.85778+00,Tennis,atp challenger athens,harry wendelken,menelaos efstathiou,T< 19.5,2,Sansabet,100,4.59,100.00,true,
393,2025-11-24 15:09:23.479868+00,Tennis,wta 125k buenos aires,lucciana perez alarcon,elizabeth mandlik,P1 2G 2.0,1.9,Sansabet,100,5.95,-100.00,true,
387,2025-11-24 14:42:52.393208+00,Tennis,atp challenger maia,carlos sanchez jover,cezar cretu,P2 T< 8.5,2,Sansabet,100,6.52,100.00,true,
385,2025-11-24 14:15:15.295171+00,Tennis,atp challenger manama,dali blanch,sergey fomin,P1 T< 10.5,2.25,Sansabet,100,12.15,-100.00,true,
383,2025-11-24 13:55:00.590767+00,Soccer,slovenia u19 league,mura,koper,H1 -2.5,2.65,Sansabet,100,4.06,-100.00,true,
382,2025-11-24 13:53:42.536243+00,Soccer,egypt 2nd division b,misr elmaqasah,tel bani swaif,IT2> 0.5,4.35,Sansabet,100,3.56,335.00,true,
380,2025-11-24 13:40:54.103914+00,Soccer,indonesia championship,persiraja banda aceh,sriwijaya,IT2< 0.5,1.98,Sansabet,100,4.24,98.00,true,
379,2025-11-24 13:28:13.549412+00,Tennis,itf women fujairah,daria snigur,erika andreeva,P1 T> 7.5,2.35,Sansabet,100,17.65,-100.00,true,
378,2025-11-24 13:25:37.392999+00,Soccer,mozambique mocambola,costa do sol,ferroviario de maputo,P1 T> 1.5,2.65,Sansabet,100,3.42,165.00,true,
376,2025-11-24 13:24:05.39837+00,Soccer,uruguay reserve league,progreso,juventud,H2 -3.5,2.6,Sansabet,100,3.97,-100.00,true,
373,2025-11-24 12:59:14.405895+00,Soccer,indonesia championship,bekasi city,persekat,T> 2.5,2.95,Sansabet,100,5.40,195.00,true,
371,2025-11-24 12:37:11.461124+00,Tennis,atp challenger athens,michele ribecai,diego dedurapalomero,P1 T< 10.5,2.2,Sansabet,100,12.22,120.00,true,
369,2025-11-24 12:32:25.314625+00,Soccer,turkey super lig u19,istanbul basaksehir,trabzonspor,T> 2.5,3.15,Sansabet,100,7.16,215.00,true,
368,2025-11-24 12:30:05.210628+00,Tennis,itf women fujairah,viktoria hruncakova,sinja kraus,P1 T> 8.5,1.88,Sansabet,100,4.97,-100.00,true,
366,2025-11-24 12:16:06.718786+00,Tennis,itf women fujairah,arantxa rus,vendula valdmannova,P2 T> 9.5,2.6,Sansabet,100,4.11,-100.00,true,
364,2025-11-24 12:05:46.21054+00,Tennis,itf women fujairah,elena pridankina,alexandra shubladze,P1 T> 12.5,2.9,Sansabet,100,36.30,-100.00,true,
362,2025-11-24 11:30:20.614682+00,Tennis,atp challenger manama,egor agafonov,mirza basic,P2 T< 8.5,2.7,Sansabet,100,10.22,170.00,true,
360,2025-11-24 11:24:32.436729+00,Tennis,atp challenger manama,alexandr binda,vladislav melnic,P1 T< 10.5,3.6,Sansabet,100,3.32,260.00,true,
358,2025-11-24 11:16:24.009598+00,Soccer,turkey super lig u19,konyaspor,antalyaspor,IT2> 0.5,3.45,Sansabet,100,5.08,-100.00,true,
355,2025-11-24 11:11:15.953083+00,Tennis,atp challenger athens,pierluigi basile,nicolas parizzia,P1 T< 10.5,2.45,Sansabet,100,11.71,145.00,true,
353,2025-11-24 10:54:51.127569+00,Tennis,itf women fujairah,dalila jakupovic,arianne hartono,P2 1G 1.0,3.45,Sansabet,100,4.71,245.00,true,
351,2025-11-24 10:43:07.906639+00,Soccer,paraguay reserve league,sportivo luqueno,olimpia asuncion,P1 H2 0.5,2.7,Sansabet,100,4.78,-100.00,true,
350,2025-11-24 02:25:45.701611+00,Tennis,atp challenger playford,masamichi imamura,carl emil overbeck,1,2.25,Sansabet,100,3.16,-100.00,true,
349,2025-11-24 01:56:38.561078+00,Soccer,japan regional league,tokyo united,jlease,T> 2.5,3.15,Sansabet,100,4.15,-100.00,true,
348,2025-11-24 01:25:39.15623+00,Tennis,atp challenger playford,tunglin wu,taiyo yamanaka,P1 T> 9.5,1.83,Sansabet,100,3.52,-100.00,true,
347,2025-11-24 01:16:21.140525+00,Soccer,colombia primera a,america de cali,junior de barranquilla,T> 2.5,3.2,Sansabet,100,4.98,-100.00,true,
346,2025-11-24 00:20:14.360266+00,Soccer,mexico liga de expansión mx,jaiba brava,tepatitlan,T> 1.5,3.35,Sansabet,100,3.99,-100.00,true,
345,2025-11-24 00:11:50.139219+00,Tennis,atp challenger playford,takuya kumasaka,leo vithoontien,P1 T> 10.5,2.35,Sansabet,100,5.42,-100.00,true,
343,2025-11-23 23:42:16.804118+00,Soccer,ecuador serie a,independiente del valle,orense,IT2> 0.5,3.7,Sansabet,100,6.67,-100.00,true,
341,2025-11-23 23:36:10.494615+00,Soccer,honduras liga nacional,olimpia,marathon,P1 H1 -1.5,3.6,Sansabet,100,3.78,-100.00,true,
340,2025-11-23 23:19:09.684645+00,Soccer,colombia primera a,independiente medellin,atletico nacional,P1 T> 0.5,3,Sansabet,100,4.23,-100.00,true,
339,2025-11-23 22:46:42.33118+00,Soccer,usa major league soccer,cincinnati,inter miami,P1 T> 1.5,2.4,Sansabet,100,4.00,-100.00,true,
337,2025-11-23 22:28:01.469787+00,Soccer,bolivia primera division,universitario de vinto,nacional potosi,P1 T> 3.5,4,Sansabet,100,6.47,-100.00,true,
