strategy,params,params_json,profit,bankrupt,dd50,dd80,worst_dd
anti_martingale,base=2.0%_m=1.8,"{""base"": 2.0, ""mult"": 1.8}",916.9561269303318,0.0,97.3,35.15,-99.73196274156983
anti_martingale,base=3.0%_m=1.2,"{""base"": 3.0, ""mult"": 1.2}",908.9352923258152,0.0,94.19,28.999999999999996,-99.77900738755051
adaptive_constant_profit,k=1.30_var,"{""k"": 1.3}",902.3107675841734,0.0,91.31,22.5,-99.40863186649523
anti_martingale,base=2.5%_m=1.4,"{""base"": 2.5, ""mult"": 1.4}",834.3971119133415,0.0,93.4,24.95,-99.60274087614046
anti_martingale,base=2.0%_m=1.7,"{""base"": 2.0, ""mult"": 1.7}",833.7404415079856,0.0,95.98,30.14,-99.58317772208834
exponential_roi,base=2.0%_e=1.5,"{""base"": 2.0, ""exp"": 1.5}",816.5395717094412,0.0,93.14,27.950000000000003,-99.633798045004
adaptive_constant_profit,k=1.20_var,"{""k"": 1.2}",756.7465297138034,0.0,86.72999999999999,16.3,-98.95551590271172
anti_martingale,base=2.5%_m=1.3,"{""base"": 2.5, ""mult"": 1.3}",702.9606151225988,0.0,88.56,17.88,-99.49049719099177
anti_martingale,base=2.0%_m=1.6,"{""base"": 2.0, ""mult"": 1.6}",702.8613960068249,0.0,92.44,20.880000000000003,-99.20661579930162
exponential_roi,base=2.0%_e=1.3,"{""base"": 2.0, ""exp"": 1.3}",699.8663339476155,0.0,89.25,21.39,-99.38258920245678
fixed_fraction,3.0%,"{""pct"": 3.0}",649.5657836250244,0.0,87.3,18.240000000000002,-99.28671821532565
anti_martingale,base=1.5%_m=2.0,"{""base"": 1.5, ""mult"": 2.0}",646.122482433862,0.0,95.07,25.900000000000002,-99.49633242210773
anti_martingale,base=1.0%_m=3.0,"{""base"": 1.0, ""mult"": 3.0}",645.6997732690625,0.0,98.88,43.54,-99.81851271685613
adaptive_constant_profit,k=1.10_var,"{""k"": 1.1}",628.834348757398,0.0,79.47999999999999,10.93,-98.29170248912374
anti_martingale,base=2.5%_m=1.2,"{""base"": 2.5, ""mult"": 1.2}",598.2485258645602,0.0,83.02000000000001,13.01,-99.36906429477771
anti_martingale,base=2.0%_m=1.5,"{""base"": 2.0, ""mult"": 1.5}",595.2795975263999,0.0,85.42999999999999,13.700000000000001,-98.81194159189181
linear_roi,base=2.0%,"{""base"": 2.0}",558.6731411455128,0.0,81.82000000000001,13.28,-98.89400868851457
exponential_roi,base=1.0%_e=3.0,"{""base"": 1.0, ""exp"": 3.0}",538.2400921322759,0.0,79.66,12.0,-98.58845339781209
anti_martingale,base=1.5%_m=1.8,"{""base"": 1.5, ""mult"": 1.8}",521.348620035507,0.0,88.06,14.879999999999999,-98.8470353455631
adaptive_constant_profit,k=1.00_var,"{""k"": 1.0}",517.1690524129024,0.0,69.83,6.54,-97.40278830481
anti_martingale,base=2.0%_m=1.4,"{""base"": 2.0, ""mult"": 1.4}",508.339877816186,0.0,77.25999999999999,8.82,-98.50082104246457
anti_martingale,base=1.0%_m=2.5,"{""base"": 1.0, ""mult"": 2.5}",481.8880212773402,0.0,94.17,24.05,-99.38897440608118
adaptive_constant_profit,k=0.95_var,"{""k"": 0.95}",467.04240958200666,0.0,63.970000000000006,4.77,-96.82104947115563
anti_martingale,base=1.5%_m=1.7,"{""base"": 1.5, ""mult"": 1.7}",447.09620961111784,0.0,78.64999999999999,8.790000000000001,-97.90526827614265
anti_martingale,base=2.0%_m=1.3,"{""base"": 2.0, ""mult"": 1.3}",437.74919316272906,0.0,68.21000000000001,5.510000000000001,-98.14785344816096
adaptive_constant_profit,k=0.90_var,"{""k"": 0.9}",420.49730118328694,0.0,57.199999999999996,3.38,-96.13200578825503
sqrt_roi,base=2.0%,"{""base"": 2.0}",399.0635136316116,0.0,64.42,4.89,-96.68074869756441
anti_martingale,base=1.5%_m=1.6,"{""base"": 1.5, ""mult"": 1.6}",385.73345708114516,0.0,67.06,4.68,-96.65762198631846
exponential_roi,base=1.0%_e=2.5,"{""base"": 1.0, ""exp"": 2.5}",384.63147711676464,0.0,62.0,4.22,-96.20292963890591
anti_martingale,base=2.0%_m=1.2,"{""base"": 2.0, ""mult"": 1.2}",380.043448537179,0.0,59.25,3.4000000000000004,-97.76560694802376
adaptive_constant_profit,k=0.85_var,"{""k"": 0.85}",377.36757006969833,0.0,50.14999999999999,2.15,-95.30105149901226
adaptive_constant_profit,k=0.80_var,"{""k"": 0.8}",337.4845420181015,0.0,43.04,1.35,-94.22238284768446
anti_martingale,base=1.5%_m=1.5,"{""base"": 1.5, ""mult"": 1.5}",334.9782825248333,0.0,54.92,2.39,-95.11831975548824
anti_martingale,base=1.0%_m=2.0,"{""base"": 1.0, ""mult"": 2.0}",317.4406739118997,0.0,72.83,6.2,-97.13751043915764
adaptive_constant_profit,k=0.75_var,"{""k"": 0.75}",300.6306460254533,0.0,36.02,0.72,-92.90637741851316
anti_martingale,base=1.5%_m=1.4,"{""base"": 1.5, ""mult"": 1.4}",292.76619581044906,0.0,44.03,1.11,-93.15017921699096
