ставка_№,банк_до,пик_до,ставка_абс,ставка_%живого,исход,банк_после,DD_от_пика_%
5317,714.7191,2291.6558,7.1472,1.0000,LOSS,707.5719,-68.81
5318,707.5719,2291.6558,7.0757,1.0000,WIN,714.6477,-69.12
5319,714.6477,2291.6558,7.1465,1.0000,LOSS,707.5012,-68.82
5320,707.5012,2291.6558,7.0750,1.0000,WIN,714.5762,-69.13
5321,714.5762,2291.6558,7.1458,1.0000,WIN,721.7220,-68.82
5322,721.7220,2291.6558,7.2172,1.0000,LOSS,714.5047,-68.51
5323,714.5047,2291.6558,7.1450,1.0000,WIN,721.6498,-68.82
5324,721.6498,2291.6558,7.2165,1.0000,LOSS,714.4333,-68.51
5325,714.4333,2291.6558,7.1443,1.0000,WIN,721.5776,-68.82
5326,721.5776,2291.6558,7.2158,1.0000,LOSS,714.3619,-68.51
5327,714.3619,2291.6558,7.1436,1.0000,LOSS,707.2182,-68.83
5328,707.2182,2291.6558,7.0722,1.0000,WIN,714.2904,-69.14
5329,714.2904,2291.6558,7.1429,1.0000,LOSS,707.1475,-68.83
5330,707.1475,2291.6558,7.0715,1.0000,WIN,714.2190,-69.14
5331,714.2190,2291.6558,7.1422,1.0000,LOSS,707.0768,-68.83
5332,707.0768,2291.6558,7.0708,1.0000,LOSS,700.0060,-69.15
5333,700.0060,2291.6558,7.0001,1.0000,LOSS,693.0060,-69.45
5334,693.0060,2291.6558,6.9301,1.0000,LOSS,686.0759,-69.76
5335,686.0759,2291.6558,6.8608,1.0000,WIN,692.9367,-70.06
5336,692.9367,2291.6558,6.9294,1.0000,LOSS,686.0073,-69.76
5337,686.0073,2291.6558,6.8601,1.0000,LOSS,679.1472,-70.06
5338,679.1472,2291.6558,6.7915,1.0000,WIN,685.9387,-70.36
5339,685.9387,2291.6558,6.8594,1.0000,WIN,692.7981,-70.07
5340,692.7981,2291.6558,6.9280,1.0000,WIN,699.7261,-69.77
5341,699.7261,2291.6558,6.9973,1.0000,LOSS,692.7288,-69.47
5342,692.7288,2291.6558,6.9273,1.0000,LOSS,685.8015,-69.77
5343,685.8015,2291.6558,6.8580,1.0000,LOSS,678.9435,-70.07
5344,678.9435,2291.6558,6.7894,1.0000,LOSS,672.1541,-70.37
5345,672.1541,2291.6558,6.7215,1.0000,WIN,678.8756,-70.67
5346,678.8756,2291.6558,6.7888,1.0000,WIN,685.6644,-70.38
5347,685.6644,2291.6558,6.8566,1.0000,LOSS,678.8077,-70.08
5348,678.8077,2291.6558,6.7881,1.0000,LOSS,672.0196,-70.38
5349,672.0196,2291.6558,6.7202,1.0000,LOSS,665.2994,-70.68
5350,665.2994,2291.6558,6.6530,1.0000,LOSS,658.6465,-70.97
5351,658.6465,2291.6558,6.5865,1.0000,LOSS,652.0600,-71.26
5352,652.0600,2291.6558,6.5206,1.0000,WIN,658.5806,-71.55
5353,658.5806,2291.6558,6.5858,1.0000,WIN,665.1664,-71.26
5354,665.1664,2291.6558,6.6517,1.0000,WIN,671.8181,-70.97
5355,671.8181,2291.6558,6.7182,1.0000,LOSS,665.0999,-70.68
